23,20,85,4,0
122,66,589,4,10
175,73,700,4,0
175,54,700,4,2
175,38,700,4,0
175,39,700,4,0
91,70,503,4,0
157,28,666,6,0
157,40,666,4,2
157,25,666,5,0
157,36,666,5,0
157,37,666,5,0
109,38,565,4,1
138,41,621,3,10
77,46,694,5,0
117,41,581,6,8
117,44,581,3,0
170,59,692,4,0
170,40,692,4,1
97,32,542,4,8
112,84,573,4,3
112,42,573,4,4
141,39,629,3,1
167,53,684,4,6
102,54,550,4,0
131,55,607,5,0
152,24,658,2,0
152,32,658,4,0
152,53,658,4,4
152,56,658,2,0
152,58,658,6,9
152,47,658,5,3
27,57,353,6,8
27,61,354,6,11
26,61,352,6,5
25,21,349,4,17
25,21,349,4,10
25,21,349,4,22
25,21,349,4,9
26,59,352,6,9
25,24,349,5,24
27,51,353,3,0
6,35,18,4,1
4,46,15,4,24
169,40,411,5,0
183,90,437,6,0
104,49,474,4,0
104,32,474,4,0
104,30,474,4,0
104,53,474,5,0
104,39,474,4,8
100,40,466,5,2
180,28,430,6,86
88,67,440,6,6
180,48,430,5,0
89,46,290,4,0
89,45,290,6,0
147,43,377,6,0
71,90,233,5,0
93,25,298,5,0
93,39,298,5,3
94,38,232,6,0
94,38,232,6,0
28,94,113,5,0
84,52,714,4,0
84,53,714,4,0
84,35,714,4,5
105,45,758,4,0
105,27,758,4,0
105,27,758,4,0
105,28,758,3,14
46,78,706,4,0
115,27,777,5,0
115,41,777,4,1
134,30,817,4,0
96,24,739,5,0
96,24,739,4,3
119,27,783,5,0
119,28,783,4,4
119,34,783,3,34
119,28,783,4,7
119,28,783,5,1
136,39,822,5,2
53,56,726,5,4
102,27,751,4,0
102,27,751,4,0
102,32,751,5,0
102,35,751,5,0
102,27,751,3,3
102,27,751,3,6
124,28,795,4,15
124,41,795,4,11
87,54,721,4,2
108,51,764,3,0
108,86,764,3,0
108,44,764,4,0
108,34,764,3,56
108,35,764,6,7
108,41,764,4,1
108,44,764,5,3
111,51,770,6,0
130,37,807,3,0
130,51,807,6,2
130,66,807,3,6
130,43,807,2,5
130,35,807,4,28
99,75,745,4,0
99,57,745,4,0
99,64,745,4,1
99,75,745,4,3
99,53,745,4,7
99,43,745,4,2
99,47,745,4,1
99,50,745,4,5
99,35,745,4,13
99,35,745,4,1
122,55,789,3,0
122,39,789,3,0
122,39,789,4,8
122,42,789,5,1
122,45,789,3,3
55,64,732,4,0
111,53,770,3,2
111,35,770,5,5
111,45,770,5,20
132,38,812,5,1
132,27,812,5,0
